,Lat,Lng,Country,City,Cloudiness,Date,Humidity,Max Temp,Wind Speed
145,4.1363,96.1285,ID,Meulaboh,100,1659550754,91,74.61,4.45
146,43.3236,145.575,JP,Nemuro,43,1659550754,92,58.87,11.97
147,22.385,-80.8508,CU,Aguada de Pasajeros,0,1659550755,35,95.88,8.03
148,-35.1,173.7833,NZ,Kaeo,64,1659550755,96,53.33,5.68
149,62.456,-114.3525,CA,Yellowknife,75,1659550724,48,63.12,9.22
150,-51.6226,-69.2181,AR,Río Gallegos,75,1659550756,87,42.85,11.5
151,-35.3333,-72.4167,CL,Constitución,76,1659550756,62,54.14,11.39
152,24.6877,46.7219,SA,Riyadh,59,1659550513,25,102.34,14.14
153,-16.4833,-151.75,PF,Faanui,7,1659550757,74,78.78,21.34
154,0.9703,-76.5858,CO,Puerto Guzmán,94,1659550758,58,84.51,3.51
155,6.7989,81.4808,LK,Wattegama,100,1659550758,75,76.75,14.18
156,-2.0833,101.3833,ID,Sungai Penuh,100,1659550759,99,65.07,1.14
157,61.1333,74.8167,RU,Lokosovo,36,1659550759,69,58.33,4.63
158,9.5,-12.2333,SL,Kamakwie,99,1659550760,94,76.62,6.96
159,-26.6481,15.1594,NA,Lüderitz,0,1659550760,86,56.35,11.95
160,17.1561,-89.0714,BZ,San Ignacio,54,1659550761,43,92.53,7.45
161,24.9,79.6,IN,Chhatarpur,45,1659550761,72,82.98,4.47
162,-2.5447,14.7533,CG,Djambala,100,1659550762,51,77.86,0.81
163,44.2732,9.3968,IT,Sestri Levante,42,1659550762,63,89.37,1.01
164,30.4833,-115.95,MX,San Quintín,78,1659550763,73,75.18,15.93
165,45.5234,-122.6762,US,Portland,0,1659550039,57,78.69,6.91
166,34.6391,-120.4579,US,Lompoc,0,1659550763,76,86.02,10.36
167,56.1615,25.7478,LV,Aknīste,30,1659550764,70,59.4,1.86
168,22.2855,114.1577,HK,Hong Kong,99,1659550764,85,83.32,3.0
169,-14.25,129.55,AU,Port Keats,74,1659550765,82,73.17,4.47
170,18.217,-63.0578,AI,The Valley,20,1659550722,62,87.94,20.71
171,-41.4122,175.5153,NZ,Waipawa,13,1659550766,89,43.57,5.17
172,14.9215,-23.5087,CV,Praia,75,1659550766,69,82.94,12.66
173,19.8,85.85,IN,Puri,90,1659550766,73,82.92,4.09
174,65.5833,-171.0,RU,Lavrentiya,3,1659550767,81,48.13,4.52
